"ID";"Beteckning";"Fotavtryck";"Kvantitet";"Beteckning";"Leverantör och ref";
1;"D1,D2,D50,D16,D8,D85,D25,D22,D38,D51,D37,D15,D54,D86,D62,D27,D45,D34,D40,D48,D87,D33,D41,D20,D30,D26,D60,D49,D19,D81,D55,D39,D74,D29,D9,D80,D90,D32,D89,D53,D31,D68,D42,D75,D13,D6,D91,D46,D14,D82,D72,D36,D59,D52,D24,D56,D61,D35,D17,D4,D18,D76,D44,D69,D71,D5,D43,D21,D12,D67,D83,D84,D47,D77,D10,D65,D88,D58,D70,D57,D66,D73,D7,D78,D79,D64,D23,D28,D63,D3";"LED_0402_1005Metric";90;"~";;;
2;"REF**,REF**,REF**";"Fiducial_1mm_Mask2mm";3;"Fiducial_1mm_Mask2mm";;;
3;"C10,C14,C8,C9,C16,C1,C3,C17,C13";"C_0402_1005Metric";9;"100nF";;;
4;"R13,R6,R11,R5,R19";"R_0402_1005Metric";5;"5,1kΩ";;;
5;",";"";2;"";;;
6;"R9,R7,R14,R12,R8,R10,R2,R4,R3,R1";"R_0402_1005Metric";10;"220";;;
7;"REF**,REF**";"TestPoint_Loop_D3.80mm_Drill2.0mm";2;"TestPoint_Loop_D3.80mm_Drill2.0mm";;;
8;"C2,C7";"C_0402_1005Metric";2;"NC";;;
9;"Y1";"Crystal_SMD_2016-4Pin_2.0x1.6mm";1;"Crystal";;;
10;"R15";"R_0402_1005Metric";1;"TBD";;;
11;"RV1";"R_0402_1005Metric";1;"Varistor";;;
12;"C4,C12,C11";"C_0402_1005Metric";3;"1µF";;;
13;"C15";"C_0603_1608Metric";1;"10uF";;;
14;"FB1";"R_0402_1005Metric";1;"FerriteBead_Small";;;
15;"C18";"C_0603_1608Metric";1;"NC";;;
16;"D11";"LED_0402_1005Metric";1;"LED_CHR";;;
17;"R18";"R_0402_1005Metric";1;"100K";;;
18;"U2";"SOT-23-5";1;"RT9080";;;
19;"SW3,SW1";"SW_PUSH_6mm";2;"SW_MEC_5G";;;
20;"J4";"U.FL_Molex_MCRF_73412-0110_Vertical";1;"NC";;;
21;"C6,C5";"C_0402_1005Metric";2;"TBD";;;
22;"R16";"R_0402_1005Metric";1;"2K";;;
23;"U4";"SOT-23-5";1;"MCP73831";;;
24;"J2";"PinHeader_1x08_P2.54mm_Vertical";1;"Conn_01x08";;;
25;"R17";"R_0402_1005Metric";1;"1K";;;
26;"D93";"D_SOD-323";1;"D_Schottky_Small";;;
27;"L1";"R_0402_1005Metric";1;"NC";;;
28;"Q1";"SOT-23";1;"BSS84";;;
29;"U1";"QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm";1;"ESP32-C3";;;
30;"U3";"SOT-23";1;"TC1047AxNB";;;
31;"J8";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"Conn_01x02";;;
32;"BT1";"BatteryHolder_MPD_BH-18650-PC2";1;"Battery_Cell";;;
33;"J1";"USB_C_Receptacle_G-Switch_GT-USB-7010ASV";1;"USB_C_Receptacle_USB2.0";;;
